0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
14487,16113,16149,16854,18084,20986,19368,12279,7747,133931,4991,488,845,73,1739,142067,-599,6795,9.3,12.7,-3.4,0.3,-1.1,-0.8,11968,48896,27036,17009,17574,13.0,15.7,14.0,48809,66090,62670,3420,48809,80.2,320.5,273.3,100.8,88.2,8.7,7.2,77.68334036,62.88545716,2.207480327,115.0995773,79.91300642,296.9227433,16,144287,38502,1401,38,42,107,114062,35.6,40606,8.4,9550,9.2,10466,12.4,14113,3.3,3775,5
8453,9788,9468,8762,10889,12464,11191,7538,3476,75240,4112,523,600,79,1475,82029,109,941,9.6,11.8,-2.2,0.8,2.7,3.6,11913,19103,18775,8965,12830,15.9,22.4,20.3,43328,36595,35193,1402,43328,80.4,255.0,223.5,86.2,78.1,7.1,6.2,37.26357407,33.51114717,0.884782764,39.93372205,31.78898072,118.3317948,12,81805,20816,701,33,37,27,65539,37.1,24315,9.7,6373,10.9,7160,14.0,9188,3.6,2380,3
2778,2764,2616,2669,3061,3495,3766,2507,1186,24219,136,91,98,3,295,24842,-292,162,10.1,14.0,-3.9,0.3,-8.1,-7.8,2453,9108,4103,2810,4659,19.0,25.8,24.4,38572,9309,8709,600,38572,87.6,263.4,231.6,100.1,89.4,10.5,9.2,12.95866061,9.189368668,0.770366236,13.42638296,17.07186604,38.5595814,0,25496,7413,733,48,54,67,19729,39.1,7714,11.4,2248,13.9,2750,15.6,3085,3.7,737,6
3353,4207,3846,3290,3589,4245,4082,2707,1961,30227,260,228,181,8,376,31280,-130,1843,10.9,12.9,-1.9,0.1,-2.3,-2.2,2539,9222,5954,3997,3631,12.4,17.3,15.8,51487,14901,14381,520,51487,92.4,230.8,212.0,80.3,74.4,6.5,6.1,16.14043771,3.94980303,0.617010651,12.29814411,15.5327757,40.69465702,0,31848,8461,532,14,18,169,24768,31.9,7901,8.7,2153,10.5,2604,13.2,3260,3.4,831,5
842,855,664,746,757,957,1095,620,457,6783,58,27,31,3,91,6993,41,131,12.2,12.0,0.1,0.4,5.4,5.9,375,1790,1862,960,686,10.0,16.4,15.6,54658,3704,3635,69,54658,91.0,218.2,193.1,84.8,77.9,6.9,6.5,4.258532482,1.889973053,0.261449965,2.831636062,4.788079445,9.055474638,0,6985,2030,244,15,19,71,5426,37.0,2008,8.7,471,8.1,439,11.6,629,3.4,186,6
4801,5225,6332,6595,6435,6280,6010,4239,2388,33425,12972,423,365,142,978,48305,-55,7784,10.5,12.7,-2.2,1.4,-0.3,1.1,6825,13242,10551,4752,9492,23.5,33.5,33.5,39545,17542,16846,696,39545,71.3,265.2,240.7,86.8,80.1,6.9,6.0,28.03139536,13.81838932,0.492136957,26.29644249,18.7783134,66.0030501,7,48571,12035,35,9,12,63,39344,37.4,14715,10.1,3954,11.4,4501,15.6,6138,3.9,1520,6
6143,6789,7333,7187,7439,10069,9671,6234,3400,61469,868,200,587,24,1117,64265,-163,641,8.6,10.5,-1.8,0.4,-1.0,-0.6,3989,15212,14250,14339,6859,10.8,15.5,14.2,56694,31709,30236,1473,56694,83.8,375.1,304.1,112.9,94.8,10.2,7.4,41.47156112,29.24483332,0.545894786,68.13819257,21.30962779,160.8350735,24,64701,17940,438,32,36,113,52522,29.0,15231,7.9,4124,8.5,4456,11.0,5801,3.1,1650,4
6384,6240,4316,5380,4103,3411,3079,1648,877,31180,229,2840,197,136,856,35438,219,192,15.4,6.5,8.9,0.9,-3.7,-2.7,2896,7345,7568,3080,4031,11.5,13.5,12.2,63631,13595,12954,641,63631,89.1,216.2,199.9,65.3,62.2,5.8,5.4,13.5312386,8.946088156,0.605374386,10.88552832,11.7935899,41.43451356,4,36343,4899,1670,44,49,47,23684,36.2,8574,6.1,1445,6.4,1527,10.7,2542,2.8,663,5
1580,1818,1586,1569,2235,2795,2790,2229,1071,16316,969,95,60,11,222,17673,-35,295,8.6,13.7,-5.0,0.0,3.1,3.1,2794,4725,4141,1880,2683,15.5,22.7,20.9,42862,7438,7151,287,42862,59.0,263.2,231.8,90.3,81.7,7.3,6.3,9.29122103,4.361354758,0.199186516,8.814003335,7.737151233,24.38374934,0,17958,5697,1715,46,51,141,14595,37.2,5429,11.0,1606,11.9,1733,15.2,2224,4.2,606,6
1331,1336,1525,1702,1345,1608,1547,1133,639,11198,580,149,92,12,135,12166,-19,1120,10.7,9.3,1.4,1.6,-4.4,-2.9,1828,3028,2775,1156,2067,18.7,25.6,23.9,48814,5233,5036,197,48814,80.5,224.8,199.9,72.9,66.5,6.2,5.4,4.19636438,2.476702735,0.221686724,4.603284562,4.074288325,14.36852119,0,12043,3164,1589,43,48,297,9746,37.5,3655,9.5,929,8.8,854,15.1,1467,3.8,367,6
