0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
14487.0,16113.0,16149.0,16854.0,18084.0,20986.0,19368.0,12279.0,7747.0,133931.0,4991.0,488.0,845.0,73.0,1739.0,142067.0,-599.0,6795.0,9.3,12.7,-3.4,0.3,-1.1,-0.8,11968.0,48896.0,27036.0,17009.0,17574.0,13.0,15.7,14.0,48809.0,66090.0,62670.0,3420.0,48809.0,80.2,320.5,273.3,100.8,88.2,8.7,7.2,77.68334036,62.88545716,2.207480327,115.0995773,79.91300642,296.9227433,16.0,144287.0,38502.0,1401.0,38.0,42.0,107.0,114062.0,53994.0,35.6,40606.0,8.4,9.2,10466.0,12.4,14113.0,3.3,3775.0,5.0
8453.0,9788.0,9468.0,8762.0,10889.0,12464.0,11191.0,7538.0,3476.0,75240.0,4112.0,523.0,600.0,79.0,1475.0,82029.0,109.0,941.0,9.6,11.8,-2.2,0.8,2.7,3.6,11913.0,19103.0,18775.0,8965.0,12830.0,15.9,22.4,20.3,43328.0,36595.0,35193.0,1402.0,43328.0,80.4,255.0,223.5,86.2,78.1,7.1,6.2,37.26357407,33.51114717,0.884782764,39.93372205,31.78898072,118.3317948,12.0,81805.0,20816.0,701.0,33.0,37.0,27.0,65539.0,33996.0,37.1,24315.0,9.7,10.9,7160.0,14.0,9188.0,3.6,2380.0,3.0
2778.0,2764.0,2616.0,2669.0,3061.0,3495.0,3766.0,2507.0,1186.0,24219.0,136.0,91.0,98.0,3.0,295.0,24842.0,-292.0,162.0,10.1,14.0,-3.9,0.3,-8.1,-7.8,2453.0,9108.0,4103.0,2810.0,4659.0,19.0,25.8,24.4,38572.0,9309.0,8709.0,600.0,38572.0,87.6,263.4,231.6,100.1,89.4,10.5,9.2,12.95866061,9.189368668,0.770366236,13.42638296,17.07186604,38.5595814,0.0,25496.0,7413.0,733.0,48.0,54.0,67.0,19729.0,10895.0,39.1,7714.0,11.4,13.9,2750.0,15.6,3085.0,3.7,737.0,6.0
3353.0,4207.0,3846.0,3290.0,3589.0,4245.0,4082.0,2707.0,1961.0,30227.0,260.0,228.0,181.0,8.0,376.0,31280.0,-130.0,1843.0,10.9,12.9,-1.9,0.1,-2.3,-2.2,2539.0,9222.0,5954.0,3997.0,3631.0,12.4,17.3,15.8,51487.0,14901.0,14381.0,520.0,51487.0,92.4,230.8,212.0,80.3,74.4,6.5,6.1,16.14043771,3.94980303,0.617010651,12.29814411,15.5327757,40.69465702,0.0,31848.0,8461.0,532.0,14.0,18.0,169.0,24768.0,11008.0,31.9,7901.0,8.7,10.5,2604.0,13.2,3260.0,3.4,831.0,5.0
842.0,855.0,664.0,746.0,757.0,957.0,1095.0,620.0,457.0,6783.0,58.0,27.0,31.0,3.0,91.0,6993.0,41.0,131.0,12.2,12.0,0.1,0.4,5.4,5.9,375.0,1790.0,1862.0,960.0,686.0,10.0,16.4,15.6,54658.0,3704.0,3635.0,69.0,54658.0,91.0,218.2,193.1,84.8,77.9,6.9,6.5,4.258532482,1.889973053,0.261449965,2.831636062,4.788079445,9.055474638,0.0,6985.0,2030.0,244.0,15.0,19.0,71.0,5426.0,2563.0,37.0,2008.0,8.7,8.1,439.0,11.6,629.0,3.4,186.0,6.0
4801.0,5225.0,6332.0,6595.0,6435.0,6280.0,6010.0,4239.0,2388.0,33425.0,12972.0,423.0,365.0,142.0,978.0,48305.0,-55.0,7784.0,10.5,12.7,-2.2,1.4,-0.3,1.1,6825.0,13242.0,10551.0,4752.0,9492.0,23.5,33.5,33.5,39545.0,17542.0,16846.0,696.0,39545.0,71.3,265.2,240.7,86.8,80.1,6.9,6.0,28.03139536,13.81838932,0.492136957,26.29644249,18.7783134,66.0030501,7.0,48571.0,12035.0,35.0,9.0,12.0,63.0,39344.0,20546.0,37.4,14715.0,10.1,11.4,4501.0,15.6,6138.0,3.9,1520.0,6.0
6143.0,6789.0,7333.0,7187.0,7439.0,10069.0,9671.0,6234.0,3400.0,61469.0,868.0,200.0,587.0,24.0,1117.0,64265.0,-163.0,641.0,8.6,10.5,-1.8,0.4,-1.0,-0.6,3989.0,15212.0,14250.0,14339.0,6859.0,10.8,15.5,14.2,56694.0,31709.0,30236.0,1473.0,56694.0,83.8,375.1,304.1,112.9,94.8,10.2,7.4,41.47156112,29.24483332,0.545894786,68.13819257,21.30962779,160.8350735,24.0,64701.0,17940.0,438.0,32.0,36.0,113.0,52522.0,19901.0,29.0,15231.0,7.9,8.5,4456.0,11.0,5801.0,3.1,1650.0,4.0
6384.0,6240.0,4316.0,5380.0,4103.0,3411.0,3079.0,1648.0,877.0,31180.0,229.0,2840.0,197.0,136.0,856.0,35438.0,219.0,192.0,15.4,6.5,8.9,0.9,-3.7,-2.7,2896.0,7345.0,7568.0,3080.0,4031.0,11.5,13.5,12.2,63631.0,13595.0,12954.0,641.0,63631.0,89.1,216.2,199.9,65.3,62.2,5.8,5.4,13.5312386,8.946088156,0.605374386,10.88552832,11.7935899,41.43451356,4.0,36343.0,4899.0,1670.0,44.0,49.0,47.0,23684.0,10732.0,36.2,8574.0,6.1,6.4,1527.0,10.7,2542.0,2.8,663.0,5.0
1580.0,1818.0,1586.0,1569.0,2235.0,2795.0,2790.0,2229.0,1071.0,16316.0,969.0,95.0,60.0,11.0,222.0,17673.0,-35.0,295.0,8.6,13.7,-5.0,0.0,3.1,3.1,2794.0,4725.0,4141.0,1880.0,2683.0,15.5,22.7,20.9,42862.0,7438.0,7151.0,287.0,42862.0,59.0,263.2,231.8,90.3,81.7,7.3,6.3,9.29122103,4.361354758,0.199186516,8.814003335,7.737151233,24.38374934,0.0,17958.0,5697.0,1715.0,46.0,51.0,141.0,14595.0,7264.0,37.2,5429.0,11.0,11.9,1733.0,15.2,2224.0,4.2,606.0,6.0
1331.0,1336.0,1525.0,1702.0,1345.0,1608.0,1547.0,1133.0,639.0,11198.0,580.0,149.0,92.0,12.0,135.0,12166.0,-19.0,1120.0,10.7,9.3,1.4,1.6,-4.4,-2.9,1828.0,3028.0,2775.0,1156.0,2067.0,18.7,25.6,23.9,48814.0,5233.0,5036.0,197.0,48814.0,80.5,224.8,199.9,72.9,66.5,6.2,5.4,4.19636438,2.476702735,0.221686724,4.603284562,4.074288325,14.36852119,0.0,12043.0,3164.0,1589.0,43.0,48.0,297.0,9746.0,4881.0,37.5,3655.0,9.5,8.8,854.0,15.1,1467.0,3.8,367.0,6.0
1143.0,1095.0,1658.0,1786.0,1836.0,1633.0,1339.0,788.0,349.0,4438.0,6929.0,32.0,98.0,1.0,129.0,11627.0,-89.0,3413.0,11.2,9.9,1.3,0.1,-9.2,-9.1,2113.0,3625.0,2290.0,793.0,2183.0,26.7,27.2,26.7,43533.0,4388.0,4227.0,161.0,43533.0,60.0,263.2,231.8,90.3,81.7,7.3,6.3,6.11265925,2.869318835,0.131044057,5.798699529,5.090242595,16.04197666,0.0,11606.0,2403.0,1702.0,46.0,51.0,81.0,9611.0,5324.0,41.1,3950.0,8.8,9.6,923.0,16.7,1607.0,3.9,376.0,6.0
579.0,549.0,481.0,506.0,421.0,731.0,759.0,505.0,458.0,4868.0,24.0,33.0,12.0,0.0,52.0,4989.0,-22.0,137.0,12.2,14.2,-2.0,0.2,-2.2,-2.0,357.0,1586.0,1158.0,549.0,549.0,11.3,15.4,16.1,51058.0,2517.0,2421.0,96.0,51058.0,72.6,302.7,265.0,104.9,96.0,7.4,6.6,2.560659712,1.611081735,0.11291798,2.858514227,3.117247552,8.342593776,0.0,5039.0,1693.0,897.0,23.0,27.0,11.0,3937.0,1868.0,36.5,1437.0,9.3,7.5,295.0,12.1,478.0,3.7,144.0,6.0
3998.0,4402.0,4823.0,4000.0,4263.0,5138.0,4809.0,2732.0,1286.0,17966.0,16841.0,153.0,95.0,16.0,380.0,35451.0,-184.0,1843.0,10.8,12.4,-1.6,0.3,-3.8,-3.5,4592.0,9831.0,6736.0,3362.0,7019.0,20.9,33.3,32.9,40285.0,14591.0,13861.0,730.0,40285.0,90.0,191.3,174.8,65.9,61.2,7.1,6.7,24.76144087,1.270121847,1.175159466,13.99508091,13.02171651,40.13347631,0.0,35981.0,7858.0,47.0,24.0,28.0,93.0,28016.0,14917.0,39.7,11122.0,8.8,9.8,2747.0,16.6,4659.0,3.8,1067.0,2.0
